datetime	date	user_id	text	nickname	first_name	second_name	sentiment
20230422 1223240000	20230422	741613157	еще раз сори за попытку помочь	edwardtuomas	edward	tuomas	neutral
20230422 1216240000	20230422	1142697803	вот это ответ на 100 баллов спасибо		ярослав		positive
20230422 1214500000	20230422	260283114	очень дружелюбный пользовательский интерфейс 	arqoofficial	artem	golubev	positive
20230422 1214000000	20230422	433562551	прям в строке браузера забивай	t_linguist	tate		neutral
20230422 1210270000	20230422	1142697803	да нет же у каждого документа есть elibrary id и их можно по этому идентификатору искать, такие задания на поиск даже есть на платформе  openedu и семён уже скидывал решения но я пытаюсь сейчас найти, где в поисковых формах вводить этот идшник, и не могу		ярослав		negative
20230422 1207200000	20230422	1870571580	не знаю, может речь о edn а они не так выразились
httplibraryfarupageaspid3016
я следов имеено elibrary id не нашёл
httpssibacinfoblogidentifikatorauthoridispinkodavtoravrinc	z6129	антон	зайцев	positive
20230422 1157590000	20230422	1142697803	скрин с платформы openedu я хочу понять, как на elibrary искать по elibrary id скрин для того, чтобы можно было написанный на нем ид ввести в поиск и найти, что этот документ  диссертация я не могу найти в поисковых формах строки для ввода ид, если ктото разобрался, прошу подсказать		ярослав		negative
20230422 1156000000	20230422	741613157	сори, перепутал скажи твой скрин откуда	edwardtuomas	edward	tuomas	neutral
20230422 1155140000	20230422	1142697803	ты зачем это скидываешь		ярослав		negative
20230422 1154320000	20230422	741613157	по порядку	edwardtuomas	edward	tuomas	neutral
20230422 1154290000	20230422	1142697803	раздел чего я спросил, где в поиске на elibrary вводить номер elibrary id такой вопрос есть на платформе, его скрин я скинул выше		ярослав		negative
20230422 1152580000	20230422	741613157	раздел говори, где	edwardtuomas	edward	tuomas	neutral
20230422 1152180000	20230422	1142697803	ктото, кто заморачивался, может заскринить, в каком месте на платформе нужно вводить вот этот номер чтобы получить результат		ярослав		neutral
20230422 1150330000	20230422	1142697803	эдвард, если ты знаешь конкретный ответ, ты не мог бы привести его сразу обычно это так и делается иначе в чём смысл, ты думаешь я не нашел окно расширенного поиска		ярослав		neutral
20230422 1146460000	20230422	741613157	а зачем ты  страдаешь все id уже нашли	edwardtuomas	edward	tuomas	negative
20230422 1146190000	20230422	741613157	нажми расширенный поиск, в разделе навигатор есть выбор поиска по автору	edwardtuomas	edward	tuomas	neutral
20230422 1145460000	20230422	1142697803	угу, и где конкретно в расширенном поиске		ярослав		neutral
20230422 1145160000	20230422	379087046	если знаешь author id, можешь просто менять в ссылке

httpswwwelibraryruauthor_itemsaspauthoridid	tolstykhaa	andrey	tolstykh	positive
20230422 1145060000	20230422	372298073	у меня 1520 минут назад работала	petrgavrilin	пётр		neutral
20230422 1144350000	20230422	1870571580	у когонибудь платформа skillfactory работает	z6129	антон	зайцев	neutral
20230422 1143440000	20230422	741613157	расширенный поиск	edwardtuomas	edward	tuomas	neutral
20230422 1137340000	20230422	1142697803	iosshit семён, ты же вроде разобрался с этой шляпой		ярослав		neutral
20230422 1132470000	20230422	1142697803	ребятушки, помогите ктонибудь как в нашем уникальном отечественном elibrary искать по elibrary id я уже устал от их дружелюбного интерфейса		ярослав		positive
